winperc,sav,gpg,sp,sogp,fp,cp,mu,ga,,,
7.099999905,0.367841423,0.172159374,0.1673913,0.543137252,0.311538458,0.373931617,0.376623362,0.509355485,,,
43.79999924,0.704845786,0.396458447,0.265217394,0.792156875,0.711538434,0.598290622,0.391465664,0.410602897,,,
38.90000153,0.557268739,0.414658129,0.354347825,0.637254894,0.498076916,0.645299137,0.512059391,0.296257794,,,
78.90000153,0.579295158,0.851942956,0.439130425,0.70588237,0.909615397,0.970085442,0.771799624,0.275467783,,,
22.20000076,0.940528631,0.280865729,0.236956522,0.805882335,0.375,0.566239297,0.417439699,0.358627856,,,
50,0.746696055,0.407771766,0.263043463,0.650980413,0.649999976,0.72863245,0.372912794,0.32224533,,,
91,0.766519845,0.695523858,0.445652187,0.758823514,1,0.876068354,0.556586266,0.098752595,,,
0,0.447136551,0.034431875,0.10217391,0.823529422,0.073076926,0.162393168,0.122448981,0.701663196,,,
56.29999924,0.636563897,0.463846534,0.297826082,0.564705908,0.375,0.852564096,0.564007401,0.301455289,,,
68.80000305,0.651982367,0.703885853,0.428260863,0.627451003,0.478846163,0.790598273,0.684601128,0.319126815,,,
21.39999962,0.625550687,0.337432355,0.326086968,0.809803903,0.280769229,0.596153855,0.432282001,0.649688125,,,
50,0.561673999,0.589768827,0.395652175,0.674509823,0.425000012,0.841880322,0.706864536,0.218295217,,,
18.79999924,0.51321584,0.18396458,0.115217388,0.572549045,0.273076922,0.440170944,0.332096487,0.769230783,,,
50,0.132158592,0.371372342,0.347826093,0.564705908,0.303846151,0.551282048,0.432282001,0.311850309,,,
61.09999847,0.788546264,0.529267073,0.428260863,0.835294127,0.675000012,0.758547008,0.473098338,0.205301449,,,
75,0.645374477,0.638957202,0.678260863,0.656862736,0.757692337,0.884615362,0.75139147,0.199064448,,,
25,0.557268739,0.261190355,0.23043479,0.668627441,0.63846153,0.448717952,0.304267168,0.540020764,,,
64.69999695,0.711453736,0.542056084,0.400000006,0.75686276,0.57115382,0.839743614,0.489795923,0.292099804,,,
53.29999924,0.583700418,0.548942447,0.404347837,0.699999988,0.734615386,0.745726526,0.632653058,0.327442825,,,
75,0.625550687,0.549926221,0.508695662,0.788235307,0.711538434,0.696581185,0.267161399,0.253118515,,,
52.90000153,0.678414106,0.478111178,0.380434781,0.656862736,0.711538434,0.589743614,0.593692005,0.327962577,,,
40,1,0.112149537,0.091304347,0.572549045,0.715384603,0.617521346,0.348794073,0.023388773,,,
56.29999924,0.700440526,0.497786522,0.473913044,0.762745082,0.521153867,0.724358976,0.504638195,0.228170484,,,
85,0.669603527,0.761436284,1,1,0.63846153,0.91452992,0.558441579,0.183471933,,,
